Scenario,Year,Metal,Technology,"Climate change, ecosystem quality, long term","Climate change, ecosystem quality, short term","Climate change, human health, long term","Climate change, human health, short term",Fisheries impact,Freshwater acidification,"Freshwater ecotoxicity, long term","Freshwater ecotoxicity, short term",Freshwater eutrophication,"Human toxicity cancer, long term","Human toxicity cancer, short term","Human toxicity non-cancer, long term","Human toxicity non-cancer, short term","Ionizing radiations, ecosystem quality","Ionizing radiations, human health","Land occupation, biodiversity","Land transformation, biodiversity","Marine acidification, long term","Marine acidification, short term","Marine ecotoxicity, long term","Marine ecotoxicity, short term",Marine eutrophication,Ozone layer depletion,Particulate matter formation,"Photochemical ozone formation, ecosystem quality","Photochemical ozone formation, human health",Terrestrial acidification,"Terrestrial ecotoxicity, long term","Terrestrial ecotoxicity, short term",Thermally polluted water,"Water availability, freshwater ecosystem","Water availability, human health","Water availability, terrestrial ecosystem",Total human health,Total ecosystem quality
NZE,2035,PGMs,Rest of the economy,991634297.0178527,335243114.77495956,13364.228060950094,4518.062205740604,0.0032143284974850365,8133810691.261659,51631414153.334015,95424012.05675031,318805.50531042885,19.621468906786383,505.6016790219652,646.2893330035067,432.34447599448004,0.21902957779747523,3.4996224100539712,262208328.5632507,4703798343.978768,336574994.6843981,36534017.75212936,676.1623001367361,947.0948498730788,45914864.57673774,0.11984922530973112,94994.18428107133,1090986904.05713,110.47739527301658,20146961532.13664,24682545.949216105,34568961.48056872,892488.195423605,25002.49771547199,881.7759096228585,1403366.113211366,115476.20411163104,87872397430.9423
NZE,2040,PGMs,Rest of the economy,966175583.0731866,330072508.77970463,13021.121676872464,4448.378088755828,0.003648411346475358,9078362469.340515,57675179130.31343,96380759.42952839,425126.28265105945,22.78716108172324,569.5878510626471,761.1620118962134,508.86559356121836,0.20686822277201,3.205109367042584,470961429.47719806,5252738453.212742,324967887.315841,35274040.006388806,768.0112063029759,1126.6302274535306,51307006.848332524,0.12756574766233794,105780.82975474934,1210065055.491165,122.58184689483984,22482051641.432865,28035410.60980273,41122002.617541045,851246.7569312553,23998.362386785535,909.7862841919427,1583280.5051406645,126148.43276498905,98045578234.6648
NZE,2045,PGMs,Rest of the economy,969789883.595943,333933861.23514926,13069.831506618686,4500.417427003251,0.0037821581327596716,10141771317.418037,64499185316.859505,97013193.41497855,557817.7884358496,27.12578964662216,654.4446325767124,920.2194428350025,613.2577213479758,0.22684218241055273,3.480539025691593,746883520.3236073,5872703991.620936,323377003.64670557,35101347.88122829,891.1206000617778,1373.488244598536,57450862.76522781,0.13922074474900978,118065.7837554828,1347327441.7860718,136.54081672855165,25113981325.04463,32529392.069019783,50132320.035497464,907893.9035213197,24200.109941767627,997.6616288135615,1807493.3467171877,138988.90228734224,109624479675.57487
NZE,2050,PGMs,Rest of the economy,969570054.4803469,336848701.08598113,13066.868877201128,4539.700640827011,0.003964534576653871,11272689447.061804,71817300541.52536,100025151.13773519,676058.319833829,33.498441872528666,765.4040159704417,1149.464815000271,759.7266518181707,0.38453599637259583,5.319119734810572,947866319.3416679,6546674431.171524,319636111.6826856,34695171.54872367,1037.6901714748017,1679.6034222597839,64027509.65038794,0.1520074664456104,131132.64285468523,1494005556.723277,151.46044585192985,27916659624.2808,37879749.554851994,61305523.75430811,1044569.808460138,26190.769774793487,1324.1922278125958,2070230.6748555573,152928.4298900821,121923002800.7969
NZE,2022,Praseodymium,Rest of the economy,567240786.7177889,174344227.35453403,7644.688427453635,2349.6323518015492,0.00026270551349653296,20057455.00168114,537583326.9003751,60124040.90177494,786646.825763409,12.56224393451795,530.4822389348464,457.5047999260694,563.6817415969573,5.3057476843881854,29.824347591428587,319406793.927039,538056529.670033,204459525.71521828,22194229.781429846,1073.354397798205,866.8194995982392,552601198.1312314,0.06601500122069924,1634.5376915317695,39442741.81682006,3.9955654393592845,151667784.08256662,39180833.96776193,31638911.513058074,235957.0467067291,7260.509312228532,371.60196537373014,846511.9790194922,13598.57739517722,3259876718.421127
NZE,2030,Praseodymium,Rest of the economy,541889008.7914189,166872072.71007502,7303.023216157162,2248.9303291792885,0.0006440575740012898,21773229.84479545,633729707.2055577,55293565.21761286,955421.453358297,14.372460761064577,640.6152310505524,532.2149044678769,684.569051960608,6.43605160427766,36.14257160014817,391788910.6182067,655327959.6988837,195093036.6069403,21177401.781608433,1301.560986155118,1055.0808281304346,670887947.3040394,0.07782115608783066,1545.7712861715468,43278998.182577275,4.378154022239841,164514530.82213822,47511019.423925415,38510449.95033523,279271.13524820335,8143.258466877426,448.97480224131726,1009064.6037799012,13459.069839228328,3649902113.164796
NZE,2035,Praseodymium,Rest of the economy,565828791.0904397,174539327.7061696,7625.6590015591655,2352.2617134921047,0.0007625995173379397,23815985.21351444,712415286.8085186,58792032.78887402,1082643.771677957,16.135921003968676,720.144702443997,600.1180194249707,774.2975386547479,7.245246733671604,40.56012489194637,455656343.40882087,738718554.0681443,203591222.6296334,22099899.97137915,1468.1950084049447,1196.0942717389203,756626544.5409572,0.08595232954238245,1649.375964979172,47608755.12227759,4.8186451589290185,180814517.73362702,53593667.34735336,43657440.59890021,281853.905831892,8872.051303390768,506.488461024426,1135623.7314412515,14289.946057658424,4040270046.1693945
NZE,2040,Praseodymium,Rest of the economy,600085972.8945341,185364971.71062976,8087.342095347269,2498.1586195202526,0.0008522456532445167,26320937.81365022,797712843.1610628,64459120.19563977,1219049.6420787643,18.1590808522423,803.3755060161365,677.1496653514588,868.999342295338,8.07985859643945,45.13619316694192,538320725.0262365,823248441.4425523,215818750.13692868,23427272.452297565,1642.2025942773075,1347.2430934796118,844955719.7895466,0.09925291122127726,1837.91747168538,52679885.002714045,5.33922212641478,200826247.99263355,59945485.30721817,49174372.541835375,299028.82393368025,9728.82443683542,566.7198391925285,1270391.5542793202,15408.396303294932,4485141954.753547
NZE,2045,Praseodymium,Rest of the economy,644405233.8396822,199279081.68397915,8684.631552025743,2685.678696380549,0.0008676895733307871,29363128.617852427,897741397.5722404,69629427.85450986,1367034.068414979,20.387742969379577,898.0155601526078,762.13028300212,973.9353409786536,9.025205328175321,50.44124448190001,616174588.2271049,919269065.7889043,231638452.5509784,25144577.95532571,1837.5068834972956,1517.0742118472813,943954533.9283082,0.11262473941181404,2064.784110150666,58643533.50850814,5.951089726072891,224326088.95081985,67074697.73277091,55373208.30496325,349577.53974756674,10822.396439642416,634.8265165265689,1422791.0298644751,16780.8947782298,4985170619.140048
NZE,2050,Praseodymium,Rest of the economy,698603863.3615214,216217313.64093205,9415.064986347179,2913.9547819591094,0.0008786621196788221,32581916.617510986,1006751757.7464993,75514511.04074512,1521259.4269589477,22.755457376948776,998.7295666763243,851.6729228400656,1084.1575074727384,10.035637769976434,56.19069095683945,689429844.4335619,1022103924.106747,251004223.44697165,27246784.44167143,2043.9479739755382,1695.7825971161838,1048754281.5522139,0.12667533876824214,2289.1821374635338,62952468.233346686,6.386657193457624,247422503.57448906,74610439.73717436,61896064.307468906,415848.8106658756,12045.236978275367,710.7372389561172,1585116.3502807138,18348.95864213097,5518627931.1173
