Scenario,Year,Metal,Technology,"Climate change, long term","Climate change, short term",Fossil and nuclear energy use,Freshwater acidification,Freshwater ecotoxicity,Freshwater eutrophication,Human toxicity cancer,Human toxicity non-cancer,Ionizing radiations,"Land occupation, biodiversity","Land transformation, biodiversity",Marine eutrophication,Mineral resources use,Ozone layer depletion,Particulate matter formation,Photochemical ozone formation,Terrestrial acidification,Water scarcity
NZE,2022,Copper,Rest of the economy,116560288554.1597,125394291425.32983,1595808022092.0583,8614069487.121414,883946934536870.1,5180425.694017485,13918.630997666134,1110079.1270885763,1792396691416.5662,22033576535.575768,174982640.29621643,69143023.50763439,16502730501.353086,1625.7927350226148,779505854.396279,1305754399.474707,12888066675.094753,191012814944.92334
NZE,2030,Copper,Rest of the economy,81368836349.61818,87580220296.80276,1243369191340.3062,10161120085.690725,1073941263897835.5,6368323.810137773,16996.581663724228,1359116.2580260187,2138733173546.852,27492280913.9095,216787414.2247113,81615495.6416068,20071615147.314476,1549.3677919039924,880044101.0616184,1501305263.9181979,15366521995.006071,225687170329.8043
NZE,2035,Copper,Rest of the economy,71172324951.35118,76775662736.12354,1100271185028.2788,11289903852.352402,1197161918194266.5,7305700.869320464,18954.016593786735,1518793.9618425595,2170166954323.6414,32542690234.669735,242139096.96914566,90553430.50537854,22394968619.17626,1537.6826880490632,965038333.9115591,1649375995.9376528,17086668250.749514,247053540708.6324
NZE,2040,Copper,Rest of the economy,70833712148.94678,76456776318.02151,1073421196086.661,12456513984.307583,1323359698539149.8,8364633.467451693,20949.762255729056,1680833.5998216534,2159264172248.0674,39051568369.11935,266249935.06579047,100260525.06318235,24791045953.843018,2181.8555615518585,1064950867.9869419,1817331632.8136017,18870137032.147034,270047233919.04642
NZE,2045,Copper,Rest of the economy,71657491715.13107,77385823174.22441,1059442775835.9006,13507541763.930006,1433471328855192.0,9261175.675504833,22722.4952620939,1825019.36715472,2166094441067.933,44716499597.194954,287586363.2904352,108806856.26766701,26945431768.182247,2462.2691779475276,1156621648.9450047,1966876014.4655552,20461934181.881527,291116488895.5211
NZE,2050,Copper,Rest of the economy,74319984427.63762,80289946310.9284,1082934602394.7937,14565819458.981941,1543197525175351.8,10087090.7012082,24495.328541709252,1969072.5478858692,2236260555070.0156,49243434553.7332,309536470.84771943,117172099.45388366,29048636447.667805,2635.635758497563,1248052077.6055503,2114428687.4258897,22055194990.466328,312908188538.5421
NZE,2022,Dysprosium,Rest of the economy,22831507.019579988,24809335.369870164,289226978.7262634,109548.92976027355,17689175160.118546,4691.311488787922,0.8957210035920443,6.253799673737079,2910234464.4590807,9903881.726113591,68507.28454446937,1299284.6635821292,1031268236.0174026,0.8667887607462369,19376.02308306805,53006.65852231493,185694.34299293728,12580367.478866043
NZE,2030,Dysprosium,Rest of the economy,21559559.176578887,23447005.84139596,283369001.88247937,121110.54017825332,20351763469.70146,5694.670927403131,1.081232534532369,7.441339126906091,3524899587.3650527,12071669.689395633,83401.42373711213,1577457.058120443,1252296873.8662124,1.0208221875507262,17997.821771685154,55259.63283534266,198663.39529588725,14798562.267753057
NZE,2035,Dysprosium,Rest of the economy,22596964.374133404,24604741.513696153,295277008.84433347,133432.572749447,22770509663.730053,6438.756273916626,1.215843478978064,8.402109076486303,3956311874.317633,13771353.594147893,94035.93753536874,1779057.2038153082,1412384689.022954,1.1283937300723381,19111.933841158996,60077.02686484198,217873.9676068755,16493041.535921242
NZE,2040,Dysprosium,Rest of the economy,24457014.739728473,26641891.844941627,316144878.27774376,148154.91749072596,25451711345.477688,7213.843348006157,1.35608647175686,9.443101732329389,4402009624.781217,15614124.55884077,104858.04338811232,1986726.6523865408,1577252827.7665832,1.3072132978503572,21298.734889362066,66421.4737722163,242286.2502099672,18320969.630682588
